fullname,Papers,Cites,H-Index,First,Last
Ian D. Diamond,2,93,2,1998,1999
Victoria Hosegood,2,93,2,2007,2010
Marie Guirlène Calixte,1,92,1,2006,2006
Frances Kobrin Goldscheider,1,92,1,1990,1990
Britta Hoem,1,92,1,1989,1989
Martin Dribe,4,91,3,2004,2020
Andrew D. Foster,3,91,3,1990,1993
Elizabeth Frankenberg,2,90,2,2002,2005
Dimiter Philipov,1,89,1,2006,2006
Zsolt Spéder,2,89,1,2006,2020
David J. Pasta,1,88,1,2004,2004
Grazyna Jasielqska,1,88,1,1993,1993
Sarah Jarvis,1,88,1,1999,1999
Stephen P. Jenkins,1,88,1,1999,1999
Lawrence J. Severy,1,88,1,2004,2004
Tony L. Goldberg,1,88,1,1993,1993
N. Krishnan Namboodiri,1,88,1,1972,1972
Gillian R. Bentley,1,88,1,1993,1993
Dov Friedlander,1,87,1,2005,2005
George C. Alter,2,87,2,1989,2004
Robert I. Woods,3,87,3,1991,2005
Nicky Hart,2,87,2,1993,1998
Andres Vikat,2,87,2,1999,2007
John F. Ermisch,3,87,3,1979,2015
Karoliina Majamaa,1,86,1,2005,2005
Seppo Väinö Pellervo Koskinen,1,86,1,2005,2005
Tuija P. Martelin,1,86,1,2005,2005
Sara C. Randall,3,84,3,1996,2011
Anne Moursund,1,84,1,2003,2003
Roy Malcolm Anderson,2,83,2,1994,1999
Peter F. McDonald,1,83,1,1986,1986
Dominique Meekers,2,83,2,1994,1999
Sara R. Millman,1,83,1,1986,1986
Zeba A. Sathar,1,83,1,1984,1984
Patrick Heuveline,2,83,2,1998,2015
Lindy B. Williams,1,83,1,1986,1986
Alden Speare,3,83,3,1967,1973
Timothy W. Guinnane,2,82,2,1991,2002
Chris Galley,2,82,2,1995,2001
Vladimir M. Shkolnikov,4,81,4,2004,2013
Daniel M. Goodkind,4,81,4,1995,2015
Alice Goldstein,2,80,2,1981,1997
Nathan Keyfitz,6,80,5,1950,1996
Jean Marie Robine,2,80,2,2006,2007
Robert D. Retherford,4,79,3,1973,2010
Noreen Goldman,7,78,5,1980,2003
Ann M. Berrington,1,77,1,1999,1999
Edward Shorter,1,77,1,1971,1971
Victor Agadjanian,3,77,3,2008,2017
Abbas Uddin Bhuiya,2,77,2,1991,1997
Michel L. Garenne,2,76,2,1989,2002
Máire Ní Bhrolcháin,3,76,3,1987,2011
Alan D. Lopez,1,76,1,2003,2003
Barbara A. Anderson,4,76,4,1986,1995
Omar B. Ahmad,1,76,1,2003,2003
Mark J. VanLandingham,2,76,2,1992,2001
Brodie D. Ferguson,1,76,1,2003,2003
Brian D. Silver,4,76,4,1986,1995
Christopher J.L. Murray,1,76,1,2003,2003
Joshua A. Salomon,1,76,1,2003,2003
Amelia Catharine Crampin,1,75,1,2007,2007
Caterina Hill,1,75,1,2007,2007
Melinda C. Mills,3,75,3,2010,2015
Milly Marston,2,75,1,2007,2020
Raphael Isingo,1,75,1,2007,2007
Sian Floyd,1,75,1,2007,2007
Nuala M. McGrath,1,75,1,2007,2007
David R. Weir,2,75,2,1990,1994
Carl Mosk,3,75,2,1979,1987
Eugene A. Hammel,1,74,1,1994,1994
Jeremiah M. Sullivan,3,74,3,1972,1979
Charlotte J. Erickson,4,74,4,1949,1990
Laurence M. Grummer-Strawn,2,73,2,1992,1993
Michael L. Anderson,4,73,4,1993,1998
Elizabeth Thomson,2,73,2,1999,2011
Steven Ruggles,1,72,1,1992,1992
Julie da Vanzo,1,72,1,2008,2008
William Henry James,7,72,5,1965,1978
Lauren E. Hale,1,72,1,2008,2008
Mizánur M. Rahman,1,72,1,2008,2008
Shiro Horiuchi,2,72,2,1995,2007
Monica Akinyi Magadi,1,71,1,2003,2003
Kirk Scott,1,71,1,2005,2005
Martin P. Brockerhoff,1,71,1,2003,2003
Peter R. Uhlenberg,2,71,2,1969,1995
Sangeetha Madhavan,3,69,3,2002,2017
David K. Guilkey,3,69,3,1986,1997
Stéphane Helleringer,1,68,1,2005,2005
Magali Barbieri,2,68,2,1996,2008
Griselda Rowntree,7,68,5,1949,1964
Anna Matysiak,2,67,2,2009,2014
Benjamin Davis,1,67,1,2002,2002
Woojin Chung,1,67,1,1998,1998
Robert V. Wells,2,67,2,1971,1992
Larry H. Long,1,67,1,1992,1992
Ernestina E. Coast,3,67,2,2003,2018
Kène Henkens,2,66,1,2013,2020
John D. Durand,2,66,2,1950,1960
Quincy Thomas Stewart,1,66,1,1999,1999
James C. Riley,3,66,3,1989,2003
Narayan Sastry,1,65,1,1997,1997
Martin Bell,2,65,2,2000,2014
Väinö Kannisto,1,65,1,1988,1988
Zoë Matthews,2,64,2,1999,2012
Nyovani J. Madise,2,64,2,1999,2012
Dana A. Glei,1,64,1,2007,2007
Naomi Williams,1,64,1,1995,1995
Shiva Halli,2,64,1,1997,1999
James W. Wood,2,64,2,1988,1990
Joseph Earl Potter,5,63,4,1988,2013
Siu Lan Karen Cheung,1,63,1,2007,2007
James Lee,1,63,1,1994,1994
William George Axinn,2,62,2,1993,1998
Sagri Singh,1,62,1,2006,2006
Massimo Livi Bacci,2,62,2,1968,1968
Sonalde Desai,1,62,1,1995,1995
Rajib Acharya,1,62,1,2006,2006
Kim Streatfield,1,61,1,1991,1991
David M. Heer,4,61,4,1964,1968
Michael J. White,2,61,2,1999,2006
Christine L. Himes,1,60,1,1994,1994
Luis R. Rosero-Bixby,1,60,1,1993,1993
Alain Blum,3,60,3,1989,1996
Gretchen A. Condran,1,60,1,1994,1994
Thomas J. Espenshade,4,60,4,1972,1988
Heather H. Gatny,1,60,1,2013,2013
Juho Härkönen,2,60,1,2008,2020
Robert H. Cassen,1,59,1,2003,2003
France Meslé,4,59,3,1999,2020
Jaap Dronkers,1,59,1,2008,2008
I. O. Orubuloye,1,59,1,1992,1992
Stuart Gietel-Basten,5,59,4,2013,2019
Anrudh Kumar Jain,2,59,2,1969,1969
Christophe Z. Guilmoto,4,59,2,1998,2020
Takudzwa S. Sayi,1,59,1,2012,2012
Kirsty McNay,1,59,1,2003,2003
James W. Vaupel,2,59,1,1987,2004
John C. Caldwellt,1,59,1,1992,1992
Jingyuan Yu,1,59,1,1987,1987
Tiziana Leone,1,59,1,2011,2011
Arokiasamy Perianayagam,1,59,1,2003,2003
Evert van Imhoff,3,58,3,1992,1997
Hubert A. Allen,1,58,1,1987,1987
Vladimir Canudas-Romo,6,58,4,2005,2020
Peter Streble,1,58,1,1987,1987
Jane A. Menken,3,58,3,1987,1997
Kathleen Ford,1,58,1,1987,1987
Susan E. Short,2,58,2,2000,2004
Brenda Davis Root,1,58,1,1991,1991
Julia Dayton,1,57,1,2005,2005
Jane E. Miller,3,57,2,1989,1995
Charles F. Westoff,5,57,4,1956,1987
Stephen K. Chandiwana,1,57,1,1999,1999
Tom Zhuwau,1,57,1,1999,1999
Barrie M. Margetts,1,56,1,1999,1999
Carole Feldmann,1,56,1,1993,1993
Hill Kulu,4,56,3,2007,2019
Lin Jiang,1,56,1,1995,1995
Daniel C. Clay,2,56,2,1992,1993
Jane Gilbert Mauldon,1,56,1,1992,1992
Judah Matras,4,56,4,1960,1965
Helen P. Koo,2,55,2,1984,1985
Janet D. Griffith,2,55,2,1984,1985
John C. Brown,1,55,1,2002,2002
Andrew J. Cherlin,1,55,1,1999,1999
Vijayendra Rao,1,55,1,1993,1993
Jacques Légaré,2,55,2,1990,1997
Satvika Chalasani,3,54,3,2012,2020
Nasra M. Shah,1,54,1,1983,1983
Ian M. Tamæus,1,54,1,2003,2003
Emily M. Agree,2,54,2,2005,2010
Florentina Reyes Salvail,1,54,1,1983,1983
Julian L. Simon,4,53,3,1969,1980
John R. Wilmoth,2,53,2,1995,2012
Mary Beth Ofstedal,1,53,1,2002,2002
Angelique Wei Ming Chan,1,53,1,2002,2002
June L. Sklar,1,52,1,1974,1974
Joel B. Greenhouse,1,52,1,1994,1994
Cornelius Y. Debpuur,1,52,1,2006,2006
Samuel J. Clark,3,52,2,1995,2018
Truong Si Anh,1,52,1,2000,2000
Jed Friedman,1,52,1,2000,2000
Katherine A. Lynch,1,52,1,1994,1994
Laurent Toulemon,1,52,1,2008,2008
Bui The Cuong,1,52,1,2000,2000
Arpita Chattopadhyay,1,52,1,2006,2006
Bertrand Desjardins,2,52,2,1990,1995
Jeroen K. Vermunt,1,51,1,2001,2001
Tineke Fokkema,1,51,1,2005,2005
Wilma H. Smeenk,1,51,1,2001,2001
Stamatis Kalogirou,1,51,1,2007,2007
Laurie F. DeRose,3,51,2,2002,2017
Calvin Goldscheider,2,51,2,1978,1979
George Groenewold,1,51,1,2005,2005
Alex de Waal,1,50,1,1989,1989
Marta Styrc,1,50,1,2014,2014
Daniele Vignoli,1,50,1,2014,2014
Arieke J. Rijken,1,49,1,2009,2009
Angela Reynar,1,49,1,1998,1998
Marika Jalovaara,1,48,1,2012,2012
Yuan Jianhua,1,48,1,1994,1994
Pauline Airey,1,48,1,1999,1999
Jiajian Chen,2,48,2,2007,2010
Arusyak Sevoyan,1,48,1,2010,2010
Mikko Myrskylä,6,48,4,2014,2020
James Leer,1,48,1,1995,1995
Damien de Walque,1,47,1,2006,2006
Taro Fukaya,1,47,1,2006,2006
Naohiro Ogawa,1,47,1,1996,1996
Satomi Sakamoto,1,47,1,1996,1996
Jersey Liang,1,47,1,2006,2006
Joan M. Bennett,1,47,1,2006,2006
Kenneth W. Wachter,2,47,2,1988,2006
David Wolfers,1,47,1,1975,1975
Robert F. Schoeni,1,47,1,2006,2006
Joshua R. Goldstein,3,47,3,2006,2018
Hidehiro Sugisawa,1,47,1,2006,2006
Susan C.M. Scrimshaw,1,47,1,1975,1975
Erika Kobayashi,1,47,1,2006,2006
Stan R. Becker,2,46,2,1986,2008
Bhanu B. Niraula,1,46,1,1996,1996
S. Philip Morgan,1,46,1,1996,1996
Zvi Eisenbach,2,46,2,1979,2002
Robert K. Eastwood,1,46,1,2011,2011
Michael Lipton,1,46,1,2011,2011
Liang Zhiwu,1,46,1,1994,1994
Sidney Goldstein,3,46,3,1970,1997
Liu Li,1,46,1,1994,1994
Carl E. Taylor,1,45,1,1976,1976
Jerzy Berent,3,45,3,1952,1970
Gareth Jones,3,45,2,2003,2007
Mohamed Mahmoud Ali,3,45,2,2003,2007
