fullname,Papers,Cites,H-Index,First,Last
Momodou Jasseh,1,24,1,2005,2005
Helena Chojnackm,1,24,1,1980,1980
Huang Cheng,1,23,1,2009,2009
Fernando González-Quinones,1,23,1,2003,2003
Warren M. Hern,1,23,1,1992,1992
Wei-Min Zhang,1,23,1,1990,1990
James J.C. Lewis,1,23,1,2004,2004
Paul A. David,1,23,1,1990,1990
Xiao Zhenyu,1,23,1,1988,1988
Kryštof Zeman,2,23,2,2016,2018
Ana M. Ferrer,1,23,1,2014,2014
Michelle Hindin,1,23,1,2009,2009
Kia I. Reinis,2,23,2,1992,1994
Jon Pedersen,1,23,1,1995,1995
Zuzanna Brzozowska,2,23,2,2016,2018
Mary Mahy,1,23,1,2004,2004
Jessica D. Gipson,1,23,1,2009,2009
Neff P. Walker,1,23,1,2004,2004
Warren C. Sanderson,1,23,1,1990,1990
Robert R. Bourbeau,1,23,1,1997,1997
Barbara Janowltz,1,23,1,1984,1984
Steven L. Hoch,1,23,1,1998,1998
Eric R. Jensen,1,23,1,2004,2004
Ian M. Timaæus,1,23,1,2004,2004
Anne R. Pebley,2,23,2,1981,1985
Nicholas C. Grassly,1,23,1,2004,2004
Jennifer E. Glick,1,23,1,2008,2008
Jerzy Zubrzycki,1,23,1,1958,1958
Premchand Dommaraju,1,23,1,2008,2008
Dennis A. Ahlburg,1,23,1,2004,2004
David Yaukey,3,23,3,1965,1973
François Pelletier,1,23,1,1997,1997
Susan B. Hanley,1,23,1,1974,1974
Osamu Saito,1,22,1,1996,1996
Renzo Derosas,2,22,2,2009,2010
Lee A. Lillard,1,22,1,1995,1995
Hilde A.J. Bras,1,22,1,2007,2007
Pavel Vereš,1,22,1,1990,1990
Elizabeth Stadulis,1,22,1,1952,1952
Allan Puur,3,22,2,2016,2020
Hongwei Xu,1,22,1,2010,2010
Nancy Luke,1,22,1,2010,2010
Sara E. Yeatman,1,22,1,2012,2012
Iliana V. Kohler,1,22,1,2011,2011
Karen Leslie Kramer,1,22,1,2008,2008
Ludmila Fialová,1,22,1,1990,1990
Zdeněk Pavlík,1,22,1,1990,1990
Constantijn W.A. Panis,1,22,1,1995,1995
Rachel Sullivan Robinson,1,22,1,2008,2008
Muriel Neven,1,22,1,2007,2007
A. Meijide Pardo,1,22,1,1968,1968
Alison Meredith Buttenheim,1,21,1,2009,2009
Lois E. Paul,1,21,1,1987,1987
Mark Spoerer,2,21,2,2002,2006
Fiona Steele,1,21,1,2006,2006
Constantinos Kallis,1,21,1,2006,2006
Dirk J. van de Kaa,3,21,3,1991,2013
Jianke Li,1,21,1,2001,2001
Harvey Goldstein,1,21,1,2006,2006
Jennifer A. Holland,2,21,2,2011,2017
Anton Eduard Kunst,1,21,1,2007,2007
Fanny Janssen,1,21,1,2007,2007
Heather Joshi,1,21,1,2006,2006
Jenna E. Nobles,1,21,1,2009,2009
Robert Ross,1,20,1,1975,1975
Eva Mueller,1,20,1,1972,1972
B. Kuate Defo,2,20,1,1992,2006
David Leon,2,20,2,2011,2014
Elsa S. Turner,1,20,1,1965,1965
Caroline Sten Hartnett,1,20,1,2014,2014
Susan L. Norton,1,20,1,1971,1971
Richard F. Tomasson,1,20,1,1977,1977
Hannaliis Jaadla,3,20,2,2016,2020
David Canning,1,20,1,2011,2011
Sarah A. Burgard,1,20,1,2008,2008
Kristen S. Harknett,1,20,1,2014,2014
Benjamin D. Clark,1,20,1,2009,2009
Elise F. Jones,2,20,2,1981,1982
Susan Cotts Watkins,1,20,1,1981,1981
Flann Campbell,1,20,1,1960,1960
Danielle Gauvreau,2,19,1,2017,2018
Richard Leete,1,19,1,1987,1987
Helen Ware,2,19,2,1976,1977
Jessica Nisén,3,19,2,2014,2020
Sarah A. McKinnon,1,19,1,2008,2008
Gustav Feichtinger,1,19,1,1992,1992
Eva M. Bernhardt,1,19,1,1972,1972
Seymour L. Wolfbein,1,19,1,1949,1949
Neil H. Thomas,2,19,2,1991,1993
Theo L.M. Engelen,1,19,1,1986,1986
Raymond Firth,1,19,1,1957,1957
Robert McCaa,1,19,1,1989,1989
Sumit Guha,1,19,1,1993,1993
Youssef Courbage,1,19,1,1979,1979
Carl Paul Schmertmann,2,19,2,1992,2013
Anthony H. Richmond,2,19,2,1964,1968
John R. Bryant,1,19,1,2016,2016
James Spillius,1,19,1,1957,1957
Arthur H.O. van Soest,2,19,2,2011,2014
Gerard J. Van Den Berg,1,19,1,2013,2013
Unnati Rani Saha,2,19,2,2011,2014
Ted A. Telford,1,19,1,1992,1992
Gunter Steinmann,1,19,1,1992,1992
Virginia Garrard-Burnett,1,19,1,2008,2008
Kobus Herbst,1,18,1,2010,2010
N. Keilman,2,18,2,1994,1995
Solveig Argeseanu Cunningham,1,18,1,2010,2010
Joseph Molitoris,1,18,1,2017,2017
Ann Bowman Jannetta,1,18,1,1992,1992
Nicola Shelton,1,18,1,2001,2001
Marco Breschi,1,18,1,2017,2017
Jan M. Saarela,2,18,2,2005,2018
Michal Engelman,1,18,1,2010,2010
Lucia Pozzi,1,18,1,2017,2017
Mariachiara Di Cesare,1,18,1,2012,2012
Wen L. Li,1,18,1,1973,1973
Mary E. Cookingham,1,18,1,1984,1984
Herman E. Daly,1,18,1,1971,1971
Jonathan Haughton,1,18,1,1997,1997
Ralph H. Faulkingham,1,18,1,1975,1975
Stanislao Mazzoni,1,18,1,2017,2017
Alain R. Gagnon,1,18,1,2017,2017
Francis O. Obare,1,18,1,2010,2010
Peter F. Thorbahn,1,18,1,1975,1975
Harriet Birungi,1,18,1,2010,2010
Joseph Chamie,1,18,1,1977,1977
Thomas N. Maloney,1,18,1,2017,2017
Céline Le Bourdais,1,18,1,1998,1998
Allan Schnaiberg,2,18,2,1973,1974
Pradip K. Muhuri,1,18,1,1997,1997
Omar Rahman,1,18,1,1999,1999
Chantal Blayo,1,18,1,1982,1982
Heather Juby,1,18,1,1998,1998
Shripad D. Tuljapurkar,1,18,1,1999,1999
David M. Bishai,1,18,1,2010,2010
Hélène Vézina,1,18,1,2017,2017
Thomas W. Pullum,2,17,2,1987,1999
Ethan Jennings Sharygin,1,17,1,2013,2013
John D. Buissink,1,17,1,1971,1971
Jeffrey Edmeades,1,17,1,2012,2012
Alfred Sauvy,1,17,1,1948,1948
Farzana Afridi,1,17,1,2010,2010
Glenn Sandström,2,17,2,2015,2018
Amandine Cournil,1,17,1,2006,2006
Daewoo Han,1,17,1,1982,1982
Pedro Luis Iriso-Napal,1,17,1,1989,1989
Katherine Faust,1,17,1,2012,2012
David Thomas,1,17,1,1972,1972
Domenica Rasulo,1,17,1,2006,2006
Barbara Entwisle,1,17,1,2012,2012
Frances E. Kobrin,1,17,1,1981,1981
Nan E. Johnsoni,1,16,1,1985,1985
Wayne A. Schutjer,1,16,1,1986,1986
Harvey Leibenstein,3,16,2,1969,1971
Mushtaque Raja Chowdhury,1,16,1,1997,1997
Gerhard Baumert,1,16,1,1959,1959
Harold Snieder,1,16,1,2015,2015
Amon Ergashev,1,16,1,1996,1996
Stephen N. Simpson,1,16,1,1998,1998
Nathalie E. Williams,1,16,1,2013,2013
Torkild Hovde Lyngstad,2,16,2,2009,2018
Peter Skol̈d,1,16,1,1996,1996
Martin Bolte,1,16,1,1959,1959
Jornt J. Mandemakers,1,16,1,2015,2015
Travis St.Clair,1,16,1,2013,2013
Rodolfo A. Bulatao,1,16,1,1986,1986
Robin F. Haines,1,16,1,1994,1994
Nicola Barban,1,16,1,2015,2015
Liz Middleton,1,16,1,1998,1998
Carol E. Kaufman,1,16,1,2000,2000
David J. Lunn,1,16,1,1998,1998
Felix C. Tropf,1,16,1,2015,2015
Alena Heitlinger,1,16,1,1976,1976
Christopher N. Avery,1,16,1,2013,2013
Elena Dolkigh,1,16,1,1996,1996
Marc Luy,1,16,1,2011,2011
Susan Scott,1,16,1,2000,2000
Michael J. Levin,2,16,1,2013,2016
George C. Myers,2,16,2,1962,1966
David A. Coleman,2,16,2,2015,2015
Julian Bharier,1,16,1,1968,1968
Suewen Lean,1,16,1,1985,1985
Caroline W. Kabiru,1,15,1,2017,2017
Donald W. Hastings,2,15,2,1971,1972
Kate Hampshire,1,15,1,2000,2000
Les D. Mayhew,2,15,2,2013,2015
William H. James,1,15,1,1966,1966
Gwendolyn Z. Johnson,1,15,1,1964,1964
Mary Jo DelVecchio Good,1,15,1,1980,1980
David Smith,2,15,2,2013,2015
Mark Gross,1,15,1,2017,2017
Olive L. Banks,1,15,1,1954,1954
Ronald R. Rindfuss,1,15,1,1986,1986
Beryl J. Roberts,1,15,1,1965,1965
Alan R. Sweezy,1,15,1,1971,1971
Kelly A. Musick,1,15,1,2014,2014
Shelley D. Clark,1,15,1,2017,2017
Juris Krūmiņš,1,15,1,1992,1992
Katherine M. Michelmore,1,15,1,2014,2014
William Griffiths,1,15,1,1965,1965
Donatien Béguy,1,15,1,2017,2017
Nicholas N. Dodge,1,15,1,1980,1980
Grant M. Farr,1,15,1,1980,1980
Byron J. Good,1,15,1,1980,1980
James A. Palmore,1,15,1,1986,1986
Irene Barnes Taeuber,2,15,2,1947,1960
Charles E. Nobbe,1,14,1,1974,1974
Laura Ann McCloskey,1,14,1,2008,2008
Stefanie A. Kley,1,14,1,2017,2017
Andrés Peri,1,14,1,1999,1999
Ephraim Hlophe,1,14,1,1992,1992
Marie Lesclingand,1,14,1,2012,2012
Gugulethu Gule,1,14,1,1992,1992
Khuat Thi Hai Oanh,1,14,1,2009,2009
David Shapiro,1,14,1,1996,1996
Dirgha J. Ghimire,1,14,1,2012,2012
Joseph F. Donnermeyer,1,14,1,1996,1996
Corrine M. Williams,1,14,1,2008,2008
Matthias Leuchter,1,14,1,2017,2017
Gary H. McClelland,1,14,1,1975,1975
Weixiang Luo,1,14,1,2014,2014
Guo Zhigang,1,14,1,1997,1997
Colter M. Mitchell,1,14,1,2012,2012
Clyde H. Coombs,1,14,1,1975,1975
Denis Peter Mazur,2,14,2,1967,1969
Yu Xie,1,14,1,2014,2014
Siddharth Chandra,1,14,1,2013,2013
Christa Katharina Spieß,1,14,1,1998,1998
Ian Timaeæust,1,14,1,1991,1991
Sabine Zinn,1,14,1,2017,2017
Sherry H. Olson,1,14,1,2011,2011
Patricia A. Thornton,1,14,1,2011,2011
Ying Hong,1,14,1,2006,2006
Dmitri A. Jdanov,1,14,1,2011,2011
Véronique Hertrich,2,14,1,2012,2020
Samson W. Wasao,1,14,1,1996,1996
Bruce K. Caldwell,1,14,1,2003,2003
Doris P. Slesinger,1,14,1,1961,1961
Kieron J. Barclay,3,14,2,2017,2020
Helena Chojnacka,1,14,1,1976,1976
Jan I. Ondrich,1,14,1,1998,1998
Anne Retel-Laurentin,2,14,2,1976,1981
Danié̈le Bèlanger,1,14,1,2009,2009
Daniel Kraushaar,1,14,1,1992,1992
Earl W. Morris,1,13,1,1966,1966
Sonia R. Bhalotra,1,13,1,2008,2008
Judith A. Fortney,1,13,1,1970,1970
Jack Ericson Eblen,1,13,1,1972,1972
Raymond T. Smith,1,13,1,1959,1959
Ariela Keysar,1,13,1,1985,1985
Guang Guo,1,13,1,2011,2011
Edward B. Perrin,1,13,1,1964,1964
Gábor Kézdi,1,13,1,2009,2009
Adenola A. Igun,1,13,1,1970,1970
András Gábos,1,13,1,2009,2009
Charles F. Westof,1,13,1,1980,1980
Jonathan K. Daw,1,13,1,2011,2011
Sharon Pasco,1,13,1,1977,1977
David Levine,1,13,1,1976,1976
Harri Siiskonen,1,13,1,2000,2000
Wiji Arulampalam,1,13,1,2008,2008
Chihsien Tuan,1,13,1,1958,1958
Veijo Notkola,1,13,1,2000,2000
Megan Klein Hattori,1,13,1,2007,2007
Gerald E. Markle,1,13,1,1977,1977
Róbert Iván Gál,1,13,1,2009,2009
Massimo Livi-Bacci,2,13,2,1974,2015
James Maxwell,2,12,1,1949,1950
Govert E. Bijwaard,3,12,2,2013,2019
Louise Kantrowt,1,12,1,1980,1980
John Coward,1,12,1,1980,1980
Jean L.E. Bourgeois-Pichat,1,12,1,1971,1971
Aaron Gullickson,1,12,1,2004,2004
Jose Gomez de Leon,1,12,1,1989,1989
Harriet B. Presser,1,12,1,1969,1969
Zenas M. Sykes,1,12,1,1980,1980
Andrew Hinde,1,12,1,2000,2000
Arjuun L. Adlakha,2,12,2,1968,1974
Melissa Ruth Partin,1,12,1,1992,1992
A. Meredith John,1,12,1,1988,1988
Akim J. Mturi,1,12,1,2000,2000
Paula M. Lantz,1,12,1,1992,1992
Franco Savorgnan,1,12,1,1950,1950
S. Ahmed,1,12,1,2008,2008
Norman B. Ryder,1,12,1,1984,1984
Susan Hill Cochrane,1,12,1,1975,1975
Cui Hongyan,1,12,1,2010,2010
Erich Striessnig,1,12,1,2015,2015
Christina J. Cross,1,12,1,2018,2018
William Petersen,1,12,1,1955,1955
Li Xiru,1,12,1,2010,2010
Li Liu,1,12,1,2008,2008
Melvin Zelnik,1,12,1,1966,1966
Amyong Tsui,1,12,1,2008,2008
Pavel Grigoriev,1,12,1,2013,2013
Júlia Mikolai,1,12,1,2018,2018
Snehendu B. Kar,1,12,1,1978,1978
David Henley,1,11,1,2006,2006
Mortimer Spiegelman,2,11,1,1948,1950
Christine Schnor,1,11,1,2017,2017
Renato Martins Assun&#231;&#227;o,1,11,1,2013,2013
Qiong Zhang,1,11,1,2015,2015
Grant Miller,1,11,1,2015,2015
Mark W. Oberle,1,11,1,1988,1988
Allan G. Hill,1,11,1,1990,1990
Walter R. Gilks,1,11,1,1986,1986
Suzana Cavenaghi,1,11,1,2013,2013
Lotta Vikström,1,11,1,2015,2015
Jacqueline Hecht,1,11,1,1987,1987
Daniel Alan Seiver,2,11,1,1975,1977
Karen N. Eggleston,1,11,1,2015,2015
Robert Edward Mitchell,1,11,1,1971,1971
Christabel M. Young,1,11,1,1975,1975
André Grow,1,11,1,2017,2017
William D. Mosher,1,11,1,1980,1980
Alberto Sanz-Gimeno,1,11,1,2000,2000
Zheng Wu,1,11,1,2003,2003
Alejandro Aguirre,1,11,1,1990,1990
Kenji Otani,1,11,1,1991,1991
Young J. Kim,1,11,1,1998,1998
Kimberly Singer Babiarz,1,11,1,2015,2015
Richard S. Monteith,1,11,1,1988,1988
Parfait M. Eloundou-Enyegue,1,11,1,2003,2003
Grace Wyshak,1,11,1,2004,2004
Sabu S. Padmadas,3,11,2,2010,2020
Jihong Liu,1,11,1,2004,2004
Heini Väisänen,2,10,1,2015,2020
Gunnar Malmberg,1,10,1,2018,2018
Alexander A. Weinreb,1,10,1,2016,2016
Xiaoyi Jin,1,10,1,2003,2003
David Reed,1,10,1,1974,1974
Michael J. Wintle,1,10,1,1992,1992
Hannes Hyrenius,2,10,1,1949,1951
Mariano Sana,1,10,1,2016,2016
Alysa Levene,1,10,1,2005,2005
Ismail Ajami,1,10,1,1976,1976
Geraldine B. Terry,1,10,1,1975,1975
Atef M. Khalifa,1,10,1,1973,1973
Daniel Benoit,1,10,1,1976,1976
Christopher Tietze,3,10,3,1955,1962
Eric S. Richards,2,10,2,1997,1999
Shuzhuo Li,1,10,1,2003,2003
Tönu Parming,1,10,1,1972,1972
Anna Baranowska-Rataj,2,10,1,2017,2020
Marcus William Feldman,1,10,1,2003,2003
Emma Lundholm,1,10,1,2018,2018
Brian P. Bradley,1,10,1,1978,1978
Miloslav Macura,2,10,1,1974,2004
Elyse A. Jennings,2,10,2,2016,2017
Franklin F. Mendels,1,10,1,1978,1978
Shuimeng Ng,1,10,1,1982,1982
Peter K. Newman,2,10,1,1969,1969
Bernard Berelson,2,10,2,1971,1980
Bram Peper,1,10,1,1970,1970
Jay H. Glasser,1,10,1,1968,1968
Karri Silventoinen,1,10,1,2014,2014
Takwing Chan,2,10,1,2015,2019
Oliver Reinhardt,1,9,1,2017,2017
Miao David Chunyu,1,9,1,2013,2013
Anne B. Wils,1,9,1,1991,1991
William Seltzer,1,9,1,1969,1969
Francisco Rowe,1,9,1,2018,2018
Paul Schulz,1,9,1,2017,2017
Pramote Prasartkul,1,9,1,2007,2007
Varachai Thongthai,1,9,1,2007,2007
Antonia Polychronopoulou,1,9,1,1965,1965
Zai Liang,1,9,1,2013,2013
Jee Peng Tan,1,9,1,1983,1983
Laurence Whitehead,1,9,1,1968,1968
F. H Amphlett Micklewright,1,9,1,1961,1961
Frank W. Notestein,2,9,1,1947,1949
Paul E. Vincent,1,9,1,1947,1947
David I. Kertzer,1,9,1,1999,1999
Adelinde M. Uhrmacher,1,9,1,2017,2017
Jorge Rodríguez-Vignoli,1,9,1,2018,2018
Joel T. Rosenthal,1,9,1,1973,1973
Wendy Sigle,1,9,1,1999,1999
Tom Warnke,1,9,1,2017,2017
Shoshana Neuman,1,9,1,2007,2007
Mauri Nieminent,1,9,1,1991,1991
Cicely Watson,5,9,2,1952,1954
Shea O. Rutstein,1,9,1,2014,2014
Dimitrios V. Trichopoulos,1,9,1,1965,1965
Antoinette M. Stroup,1,8,1,2015,2015
Ray R. Canning,1,8,1,1972,1972
Michele Gragnolati,1,8,1,1999,1999
Nicole Hiekel,1,8,1,2015,2015
Charles H. Reynolds,1,8,1,1972,1972
Niina Metsä-Simola,1,8,1,2013,2013
James J. Anderson,1,8,1,2015,2015
Bennett Dyke,1,8,1,1986,1986
Elina K. Einiö,1,8,1,2016,2016
Paul Axelrod,1,8,1,1990,1990
Fiifi Amoako Johnson,1,8,1,2012,2012
Mikhail Borisovich Denisenko,1,8,1,2013,2013
Barbara C. Stevens,1,8,1,1969,1969
Birgitta Bucht,1,8,1,1986,1986
Alvin T. Onaka,2,8,2,1972,1973
Julius Paul,1,8,1,1967,1967
Maud Bülbring,1,8,1,1954,1954
Allen C. Kelley,1,8,1,1973,1973
Jean Walters MacCluer,1,8,1,1986,1986
Hukum Chandra,1,8,1,2012,2012
Feinian Chen,1,8,1,2009,2009
Ting Li,1,8,1,2015,2015
C. Janna Harrell,1,8,1,2015,2015
Anthony Marino,1,8,1,1970,1970
Maria Sophia Lengyel Cook,1,8,1,1982,1982
Anne Rigt Poortman,1,8,1,2015,2015
Leo Silberman,1,8,1,1960,1960
Dorothy L. Nortman,1,8,1,1972,1972
Rachael S. Pierotti,1,8,1,2016,2016
Sojung Lim,1,8,1,2013,2013
Liudmila Torgasheva,1,8,1,2013,2013
Christiaan W.S. Monden,2,7,2,2010,2018
Pieter H.M. Van Baal,1,7,1,2016,2016
John F. Hoddinott,1,7,1,2009,2009
Yaohui Zhao,1,7,1,2015,2015
Colin Clark,1,7,1,1949,1949
Megan M. Sweeney,1,7,1,2016,2016
Johan Pieter Mackenbach,1,7,1,2016,2016
Thomas Spoorenberg,2,7,1,2014,2019
Ingrid K. van Dijk,2,7,2,2019,2020
Harry Sharp,1,7,1,1954,1954
Allan G. Hill,1,7,1,1978,1978
Vladimir Batagelj,1,7,1,2015,2015
Simona Korenjak-Černe,1,7,1,2015,2015
Andrew Collver,1,7,1,1967,1967
Ann M. DiGirolamo,1,7,1,2009,2009
Lauren K. Bachan,1,7,1,2017,2017
Mieke Carine Wim Eeckhaut,1,7,1,2016,2016
Ugofilippo Basellini,1,7,1,2019,2019
Robin G. Milne,1,7,1,1973,1973
Dalkhat M. Ediev,1,7,1,2014,2014
Terence H. Hull,1,7,1,1977,1977
El Sayed E. Nour,2,7,2,1983,1984
Eunice Cooper,1,7,1,1951,1951
John McDonald,1,7,1,1997,1997
Michael Drake,1,7,1,1966,1966
Aryeh D. Stein,1,7,1,2009,2009
Michael Freeberne,3,7,2,1964,1966
J. Mayone Stycos,1,7,1,1963,1963
James Allman,1,7,1,1978,1978
Jochen Fleischhacker,1,7,1,2002,2002
Margaret Frye,1,7,1,2017,2017
Georges Sabagh,1,7,1,1970,1970
Paul K C Liu,1,7,1,1967,1967
Wilma Johanna Nusselder,1,7,1,2016,2016
Nata?a Kej?ar,1,7,1,2015,2015
Ronald G. Ridker,1,7,1,1969,1969
Christopher Scott,1,7,1,1970,1970
Carlo Giovanni Camarda,1,7,1,2019,2019
Frederik Peters,1,7,1,2016,2016
Paul G. Demeny,1,7,1,2015,2015
James M. Sakoda,1,7,1,1967,1967
Adrian E. Raftery,2,7,1,2016,2018
Annalisa Donno,1,6,1,2017,2017
Aurora Angeli,1,6,1,2017,2017
Ridhi Kashyap,1,6,1,2019,2019
Daniel Christoph Schneider,1,6,1,2018,2018
Yuzo Morita,1,6,1,1963,1963
Alejandro N. Herrin,1,6,1,1976,1976
Thomas Cassidy,1,6,1,2012,2012
Benjamin Spencer Bradshaw,1,6,1,1969,1969
SØlvi B. Sogner,1,6,1,1963,1963
Katherine Keenan,1,6,1,2014,2014
Edmond Cocks,1,6,1,1967,1967
Bojuan Barbara Zhao,1,6,1,2012,2012
Luca Stella,1,6,1,2019,2019
Lea Keil Garson,1,6,1,1991,1991
Vicente B. Paqueo,1,6,1,1988,1988
Tomáš Sobotka,1,6,1,2018,2018
Sarah R. Hayford,1,6,1,2017,2017
Clarita Tan,1,6,1,1976,1976
Miguel Requena,2,6,1,2018,2020
George T. Bicego,1,6,1,1991,1991
Evan T. Peterson,1,6,1,1974,1974
H. Yuan Tien,1,6,1,1965,1965
Alice Goisis,2,6,1,2018,2019
Robert Gutman,1,6,1,1956,1956
Alan T. Peacock,3,6,1,1952,1957
Antonio McDaniel,1,6,1,1994,1994
Leonie Tickle,1,6,1,2016,2016
Weerasit Sittitrai,1,6,1,1992,1992
Pia Wohland,1,6,1,2014,2014
Mark Christopher Wheldon,1,6,1,2016,2016
Francis C. Madigan,1,6,1,1976,1976
Patrizia Agati,1,6,1,2017,2017
Michel P.A. Cayemittes,1,6,1,1991,1991
Godwin A. Udofia,1,6,1,1979,1979
Brian L. Pitcher,1,6,1,1974,1974
Patrick Gerland,1,6,1,2016,2016
Douglas J. Nichols,1,6,1,1978,1978
Martin Klesment,1,6,1,2018,2018
Napaporn Havanon,1,6,1,1992,1992
Erzsébet Bukodi,1,6,1,2012,2012
Ph van Praag,2,6,2,1977,1978
Osea Giuntella,1,6,1,2019,2019
Anouch Chahnazarian,1,6,1,1991,1991
Paul D. Norman,1,6,1,2014,2014
Michael G. Kenward,1,6,1,2014,2014
Prithwls Das Gupta,1,6,1,1978,1978
Sook Bang,2,6,1,1965,1966
Stefan Öberg,1,6,1,2015,2015
James R. Abernathy,1,6,1,1976,1976
Nick Parr,1,6,1,2016,2016
Byron G. Spencer,1,5,1,1974,1974
Jaemo Yang,1,5,1,1965,1965
Lorenzo Moreno,1,5,1,1991,1991
Chuang Ying-Chang,1,5,1,1994,1994
George George C. Kephart,1,5,1,1989,1989
Prescott L. Vandervoet,1,5,1,2017,2017
Marco Bonetti,1,5,1,2019,2019
Kristen Valencia,1,5,1,2017,2017
Mangap Lee,1,5,1,1965,1965
Albert Mayer,1,5,1,1955,1955
Myung-ho Kim,1,5,1,1965,1965
Signild Vallgårda,1,5,1,2010,2010
Douglas S. Massey,1,5,1,1976,1976
Napaporn Chayovan,1,5,1,1990,1990
Lesia Nedoluzhko,1,5,1,2016,2016
Mats Lillehagen,1,5,1,2018,2018
Mohammad Ataharul Islam,1,5,1,1998,1998
Shiras Manning,1,5,1,2017,2017
Paola Molina,1,5,1,2017,2017
Kylie Walzak,1,5,1,2017,2017
Kristin Klingman,1,5,1,2017,2017
Lorenzo Gamboa,1,5,1,2017,2017
Yuyu Chen,1,5,1,2015,2015
Chaibin Park,1,5,1,1998,1998
Andrew Kantner,1,5,1,1998,1998
Patrick Lusyne,1,5,1,2008,2008
Peter Mazur,1,5,1,1968,1968
Daniel E. Martínez,1,5,1,2017,2017
Murray Gendell,1,5,1,1973,1973
Yuanreng Hu,1,5,1,1995,1995
Arthur P. Wolf,1,5,1,1994,1994
Fabian F. Drixler,1,5,1,2016,2016
Julius Isaac,2,5,2,1949,1950
Kraig Beyerlein,1,5,1,2017,2017
David E. Sahn,1,5,1,2015,2015
Carol Klapprodt,1,5,1,1955,1955
Shigesato Takahashi,1,5,1,1995,1995
Rafiqul Huda Chaudhury,1,5,1,1978,1978
Sui Ying Wat,1,5,1,1972,1972
Lena Edlund,1,5,1,2015,2015
Jean van der Tak,1,5,1,1973,1973
Hilary Page,1,5,1,2008,2008
Goh Thuan-Jig,1,5,1,1972,1972
Hui Sheng Lin,1,5,1,1973,1973
Melissa Burham,1,5,1,2017,2017
Peter J. Glick,1,5,1,2015,2015
Hongbin Li,1,5,1,2015,2015
Frank T. Denton,1,5,1,1974,1974
Lucky M. Tedrow,1,5,1,1976,1976
Jeremy Y. Slack,1,5,1,2017,2017
Christopher Handy,1,5,1,2015,2015
Mikko Aaltonen,1,5,1,2018,2018
Nitai Chakraborty,1,5,1,1998,1998
Ursula M. Cowgill,2,5,1,1967,1968
James P. Cunningham,1,5,1,1972,1972
Joginder Kumar,1,5,1,1971,1971
Barbara Laslett,1,5,1,1987,1987
Barbara E. Thompson,1,5,1,1977,1977
Abdelmegid M. Farrag,1,5,1,1964,1964
Bryan L. Boulier,1,5,1,1986,1986
Karen Oppenheim Mason,1,5,1,1987,1987
Han Lin Shang,1,5,1,2015,2015
Donald L. Eilenstine,1,5,1,1972,1972
Jan Kok,1,5,1,2016,2016
Shantha Madhavan,1,5,1,1981,1981
Peter Congdon,1,5,1,1980,1980
Sheila Mitchell,1,5,1,1959,1959
Mildred Blaxter,1,5,1,1991,1991
David Philip Lindstrom,1,4,1,1998,1998
Andrí Gabor,1,4,1,1955,1955
Zengyi Huang,1,4,1,2018,2018
Alexandre Gori Maia,1,4,1,2016,2016
Deniz Dilan Karaman Örsal,1,4,1,2018,2018
Susannah Brown,1,4,1,1968,1968
Søren Kjærgaard,1,4,1,2017,2017
Steven Polgar,1,4,1,1974,1974
Baran Tuncer,1,4,1,1974,1974
Allen Daley,1,4,1,1964,1964
Nigel Crook,1,4,1,1996,1996
Eilidh M. Garrett,1,4,1,2020,2020
Oriel Sullivan,1,4,1,1991,1991
Robert E. Jones,1,4,1,1998,1998
Vladimir Srb,1,4,1,1962,1962
Stefano Mazzuco,1,4,1,2018,2018
Ghazi M. Farooq,1,4,1,1974,1974
Josiah Cox Russell,1,4,1,1948,1948
Riad B. Tabbarah,1,4,1,1964,1964
Kees Mandemakers,1,4,1,2020,2020
David McCollum,1,4,1,2018,2018
Jesús Javier Sánchez Barricarte,1,4,1,2017,2017
Tara Kanitkar,1,4,1,1974,1974
Izaslaw Frenkel,1,4,1,1976,1976
Julie E. Backer,2,4,1,1947,1948
Bruno Scarpa,1,4,1,2018,2018
Kevin E. Schürer,1,4,1,2020,2020
Susan B. Schaffnit,1,4,1,2017,2017
Sami W. Dajani,1,4,1,1947,1947
Annemarie Ernsten,1,4,1,2018,2018
Pieternella Eline Slagboom,1,4,1,2020,2020
Hassan Eini-Zinab,1,4,1,2013,2013
Sven Moberg,1,4,1,1950,1950
Dorothy McLaren,1,4,1,1974,1974
Ruth Glass,1,4,1,1951,1951
Mathias Lerch,1,4,1,2018,2018
Ruchi Chou,1,4,1,1968,1968
Cecilia Potente,1,4,1,2018,2018
Virginia Aldigé Hiday,1,4,1,1974,1974
Luciana Quaranta,1,4,1,2017,2017
Ilana Ronen,1,4,1,1958,1958
Rick J. Mourits,1,4,1,2020,2020
Julia A. Jennings,1,4,1,2017,2017
Chialin Pan,1,4,1,1949,1949
Julian Blackburn,1,4,1,1947,1947
Warwick Neville,1,4,1,1978,1978
Patience Lauriat,1,4,1,1955,1955
Kari L. White,1,4,1,2013,2013
Camila Strobl Sakamoto,1,4,1,2016,2016
Jacques Doublet,1,4,1,1948,1948
Niels van den Berg,1,4,1,2020,2020
Lucia Zanotto,1,4,1,2018,2018
Dawn Everington,1,4,1,2018,2018
Jane Falkingham,1,4,1,1991,1991
Youpoh Seng,2,4,1,1949,1959
Alessandro Rosina,2,4,2,2006,2010
José Antonio Ortega,1,4,1,2000,2000
